grid,perturbation,feasibility,model,Avg. active res. (p.u.),Avg. reactive res. (p.u.),"PBE (Mean, p.u.)","PBE (Max, p.u.)"
case118,avg,nose,bs64_same_norm_shuffle_train_paper_seed1,0.12798267046610515,0.025013970136642454,0.1360175895690918,27.1670664469401
case118,avg,nose,bs64_same_norm_shuffle_train_paper_seed3,0.16023889223734536,0.02726032892862956,0.1676919746398926,20.057545979817707
case118,avg,nose,bs64_same_norm_shuffle_train_paper_seed2,0.2074264717102051,0.04738805214564005,0.22212712605794271,41.629557291666664
case118,n,feasible,bs64_same_norm_shuffle_train_paper_seed1,0.0007790541648864741,0.00015190639533102502,0.0008327560126781459,0.02680094003677368
case118,n,feasible,bs64_same_norm_shuffle_train_paper_seed3,0.00108891487121582,0.000200223736464977,0.001156348809599876,0.03649222612380981
case118,n,feasible,bs64_same_norm_shuffle_train_paper_seed2,0.002969668209552765,0.000593871138989925,0.00318639189004898,0.14053897857666015
case118,n-1,feasible,bs64_same_norm_shuffle_train_paper_seed1,0.0017496456205844879,0.000350476652383804,0.001885160505771637,0.2848037147521973
case118,n-1,feasible,bs64_same_norm_shuffle_train_paper_seed3,0.002387950718402862,0.000418847985565662,0.002531238198280334,3.902878723144531
case118,n-1,feasible,bs64_same_norm_shuffle_train_paper_seed2,0.006105818748474121,0.001260246932506561,0.0065754252672195436,1.1099983215332032
case118,n-2,feasible,bs64_same_norm_shuffle_train_paper_seed1,0.0025777730345726006,0.000536581575870513,0.002793907523155212,0.5213798522949219
case118,n-2,feasible,bs64_same_norm_shuffle_train_paper_seed3,0.003767587542533874,0.000657953992486,0.0039838051795959475,7.647520751953125
case118,n-2,feasible,bs64_same_norm_shuffle_train_paper_seed2,0.009107497334480286,0.0018751856684684752,0.009793995022773744,1.5539720153808594
