grid,perturbation,feasibility,model,"PBE (Mean, p.u.)","PBE (Max, p.u.)","PBE (Mean, p.u.) std","PBE (Max, p.u.) std","PBE (Mean, p.u.) latex","PBE (Max, p.u.) latex"
case118,avg,nose,bs64_same_norm_shuffle_train_paper,0.21867289543151858,39.0337796359592,0.07602091710333436,25.670636312873963,2.2\std{0.8\e{-1}},3.9\std{2.6\e{1}}
case118,n,feasible,bs64_same_norm_shuffle_train_paper,0.002694010809063911,0.06528192440668741,0.0021465424615551036,0.04081509279819521,2.7\std{2.1\e{-3}},6.5\std{4.08\e{-2}}
case118,n-1,feasible,bs64_same_norm_shuffle_train_paper,0.0045381070176760355,1.214367650349935,0.0034001046546260605,0.7055686221820291,4.5\std{3.4\e{-3}},1.2\std{0.7\e{0}}
case118,n-2,feasible,bs64_same_norm_shuffle_train_paper,0.005824472159147262,2.0105973052978516,0.004272968859122411,1.8373125563917239,5.8\std{4.3\e{-3}},2.0\std{1.8\e{0}}
case500,avg,nose,bs64_same_norm_shuffle_train_paper,8.742218678792318,194.7162744140625,5.821083264575272,155.66594830350462,8.7\std{5.8\e{0}},1.9\std{1.6\e{2}}
case500,n,feasible,bs64_same_norm_shuffle_train_paper,8.686163024902344,194.65417154947917,5.884565221958839,159.8615846427055,8.7\std{5.9\e{0}},1.9\std{1.6\e{2}}
case500,n-1,feasible,bs64_same_norm_shuffle_train_paper,8.656236368815103,195.51484537760416,5.907597977261174,157.73671380100384,8.7\std{5.9\e{0}},2.0\std{1.6\e{2}}
case500,n-2,feasible,bs64_same_norm_shuffle_train_paper,8.685843251546224,196.52099446614582,5.891861265256461,158.2397265673633,8.7\std{5.9\e{0}},2.0\std{1.6\e{2}}
case57,avg,nose,bs64_same_norm_shuffle_train_paper,0.5820616955227322,19.031802571614584,0.2159229993965167,5.021130575471787,5.8\std{2.2\e{-1}},1.9\std{0.5\e{1}}
case57,n,feasible,bs64_same_norm_shuffle_train_paper,0.48706725438435877,11.573251953125,0.1894209539441772,9.871811586463203,4.9\std{1.9\e{-1}},1.2\std{1.0\e{1}}
case57,n-1,feasible,bs64_same_norm_shuffle_train_paper,0.49514803568522137,13.64595479329427,0.2068700914286827,8.495283014307233,5.0\std{2.07\e{-1}},1.4\std{0.8\e{1}}
case57,n-2,feasible,bs64_same_norm_shuffle_train_paper,0.4777223332722982,15.69317138671875,0.17388816865079973,7.1396318150984905,4.8\std{1.7\e{-1}},1.6\std{0.7\e{1}}
