k,GENCO_mean_relative_residual [-],DC-PF_mean_relative_residual [-],GENCO_median_relative_residual [-],DC-PF_median_relative_residual [-],GENCO_upper_outliers [%],DC-PF_upper_outliers [%],GENCO_p99.9 [-],DC-PF_p99.9 [-]
1,0.71273696,3.500665,0.13302079,0.38024312,11.877183040341551,12.665053986199354,66.79782,541.90375
2,0.7562861,3.5016065,0.13938451,0.38016027,11.893996123539337,12.658202045470288,70.78956,543.7413
3,0.77757853,3.5027483,0.14314856,0.38022107,11.91471771102922,12.667408633023653,71.747185,542.32434
4,0.8203998,3.507685,0.14903334,0.38052052,11.963740693039092,12.666551603014629,75.94945,543.2606
5,0.85725486,3.5085573,0.1551345,0.3807364,11.979756664611704,12.66438999412788,79.23818,544.0784
6,0.9035472,3.515004,0.16088681,0.38068843,12.031871275973813,12.663387621966852,82.80667,544.5005
7,0.9079865,3.5196822,0.16491395,0.38065162,11.99971185806225,12.66545744916145,82.46398,545.6654
8,0.94871366,3.5182848,0.17129777,0.3808032,12.023040177487708,12.658866831946849,85.11103,543.79297
9,0.989983,3.5237806,0.17805631,0.38107756,12.04573854760757,12.670269830115855,89.178635,544.4903
10,1.026441,3.527605,0.18598509,0.3809588,12.032726842921614,12.661314871696277,91.50246,544.8455
11,1.0429844,3.529721,0.18938641,0.38112608,12.04765261078772,12.661660445208737,94.163956,544.336
12,1.1011047,3.5282087,0.19896115,0.3812797,12.045154508116566,12.658167599745745,98.01083,543.4883
13,1.1302555,3.5332527,0.20307222,0.38113713,12.083883224871618,12.658130414242184,100.895805,545.0367
14,1.1654816,3.5354953,0.21116737,0.38179374,12.06076306432041,12.652749053328849,102.20079,545.2677
15,1.2076851,3.541928,0.21840051,0.38166136,12.06908697102183,12.671383875537986,106.564415,547.2598
16,1.2458012,3.543622,0.22540067,0.38200888,12.052162809614877,12.660645154172382,110.2139,545.42206
17,1.2785894,3.544484,0.23229492,0.38202733,12.05791005430404,12.667213449012928,112.43392,543.5812
18,1.3051059,3.5468144,0.2405324,0.38214025,12.038959262275373,12.658765014707468,113.86823,545.1784
19,1.359876,3.5525343,0.24730876,0.38198808,12.068175154492861,12.668930419812682,118.286156,546.2595
20,1.3917512,3.5565972,0.25573456,0.38260818,12.042577034081159,12.662470372688395,120.61838,547.072
