System,Model,opt gap,theta_ij,S_ij(+),S_ij(-),Pb,Qb,Qg_violation
14-ieee,DC-OPF,5.74514 ± 0.00512355,0.0,0.0,0.0,1.42018 ± 0.00456312,,
14-ieee,AC-OPF,0.0,0.0,1.06995e-11 ± 4.41567e-12,0.0,8.12267e-10 ± 1.14871e-09,1.44207e-09 ± 1.93945e-09,1.57934e-08 ± 8.68721e-10
14-ieee,HGNS_OPF_datakit_case14_base_mean_std,0.096079 ± 0.00107356,0 ± 0,2.56145e-05 ± 1.9409e-05,1.31607e-05 ± 2.93386e-06,0.00435244 ± 9.45591e-05,0.00378536 ± 0.000111413,0.00128189 ± 0.000157048
14-ieee,HGNS_OPF_datakit_case14_small_mean_std,0.104131 ± 0.0135572,0 ± 0,2.46064e-05 ± 1.82509e-05,1.37409e-05 ± 2.36518e-06,0.00550698 ± 0.000528428,0.00462507 ± 6.25031e-05,0.00120449 ± 0.000243879
30-ieee,DC-OPF,7.82614 ± 0.0317238,0.0,0.0983276 ± 0.00101688,0.0788633 ± 0.0008038,0.633533 ± 0.00427484,,
30-ieee,AC-OPF,0.0,0.0,6.68937e-09 ± 7.32574e-11,1.09801e-12 ± 1.55282e-12,2.1911401601220868e-15,2.1438945216433414e-11,2.64654e-09 ± 7.73748e-11
30-ieee,HGNS_OPF_datakit_case30_base_mean_std,0.209058 ± 0.023963,0 ± 0,0.00113051 ± 0.000173571,0.00110967 ± 0.000155369,0.00690382 ± 0.00104642,0.0049511 ± 0.00029287,0.000699993 ± 0.000311299
30-ieee,HGNS_OPF_datakit_case30_small_mean_std,0.246052 ± 0.0111237,0 ± 0,0.00112443 ± 0.000193645,0.00112126 ± 0.000161225,0.0106485 ± 0.00181298,0.00803249 ± 0.000658707,0.000894877 ± 3.92275e-05
57-ieee,DC-OPF,5.54171 ± 0.0212319,0.0,0.0153346 ± 0.000335501,0.0114609 ± 0.000225669,1.28931 ± 0.00250894,,
57-ieee,AC-OPF,0.0,0.0,2.97193e-09 ± 2.64456e-11,2.619e-10 ± 4.59638e-12,4.99725e-10 ± 7.9008e-11,7.95727e-10 ± 7.90236e-11,2.93605e-08 ± 5.36581e-10
57-ieee,HGNS_OPF_datakit_case57_base_mean_std,1.20863 ± 0.178807,0 ± 0,0.00289073 ± 0.000364034,0.00303963 ± 6.21734e-05,0.413153 ± 0.158845,0.179939 ± 0.0773713,0.00614616 ± 0.000711432
57-ieee,HGNS_OPF_datakit_case57_small_mean_std,0.882471 ± 0.142489,0 ± 0,0.00268751 ± 5.02371e-05,0.00286944 ± 0.000327576,0.300051 ± 0.0691602,0.161855 ± 0.0337957,0.00724685 ± 0.00128075
118-ieee,DC-OPF,4.73007 ± 0.0203282,0.0,0.104089 ± 0.000649427,0.10596 ± 0.000625304,2.45798 ± 0.00311234,,
118-ieee,AC-OPF,0.0,0.0,2.39266e-09 ± 3.55594e-11,3.53005e-09 ± 9.61315e-11,8.014257168732497e-15,4.2464535269883994e-11,2.474e-09 ± 5.20531e-11
118-ieee,HGNS_OPF_datakit_case118_base_mean_std,1.65785 ± 0.0268696,0 ± 0,0.0375328 ± 0.00561744,0.0374403 ± 0.00578475,1.3627 ± 0.112409,0.274596 ± 0.00236279,0.00118783 ± 0.000664844
118-ieee,HGNS_OPF_datakit_case118_small_mean_std,1.6574 ± 0.0301283,0 ± 0,0.0421095 ± 4.47679e-05,0.041725 ± 0.000373173,1.11809 ± 0.0613616,0.256813 ± 0.0149299,0.00113237 ± 0.000182626
500-goc,DC-OPF,1.80967 ± 0.0137593,0.0,0.0434959 ± 0.000147112,0.0801 ± 3.20125e-05,1.85279 ± 0.00412354,,
500-goc,AC-OPF,0.0,0.0,2.09712e-10 ± 1.52509e-11,2.26828e-10 ± 2.1833e-11,9.60765153942928e-15,9.307153455945292e-12,5.32058e-10 ± 1.17101e-10
500-goc,HGNS_OPF_datakit_case500_base_mean_std,0.491562 ± 0.0825937,0 ± 0,0.00383232 ± 0.000357381,0.00386291 ± 0.00017647,0.706586 ± 0.0815994,0.189334 ± 0.0217759,0.000490152 ± 0.000127374
500-goc,HGNS_OPF_datakit_case500_small_mean_std,0.565761 ± 0.00577652,0 ± 0,0.00422082 ± 6.91439e-06,0.00439105 ± 0.000175627,0.815514 ± 0.0099459,0.247942 ± 0.00864525,0.00061927 ± 3.0047e-05
2000-goc,DC-OPF,2.83991 ± 0.020542,0.0,0.0513705 ± 0.000275579,0.0957427 ± 0.000437172,1.07755 ± 0.00733743,,
2000-goc,AC-OPF,0.0,0.0,3.786530056126433e-12,6.78896e-11 ± 2.46121e-12,7.693070845831358e-15,2.6587678859907018e-11,6.76382e-10 ± 1.46908e-10
2000-goc,HGNS_OPF_datakit_case2000_base_mean_std,1.53274 ± 0.0346158,0 ± 0,0.0356443 ± 0.0234583,0.0365521 ± 0.0248999,2.93784 ± 0.304861,0.793374 ± 0.125247,0.00552505 ± 0.0015613
2000-goc,HGNS_OPF_datakit_case2000_small_mean_std,1.53772 ± 0.00353266,0 ± 0,0.00730065 ± 0.00103808,0.00755525 ± 0.000793744,2.84987 ± 0.237492,0.802182 ± 0.0762272,0.00598871 ± 0.00216284
