Metric,Value
Avg. active res. (MW),0.06472043693065643
Avg. reactive res. (MVar),0.036860592663288116
RMSE PG generators (MW),5.1295912111641355
Mean optimality gap (%),0.13765496015548706
Mean branch thermal violation from (MVA),7.882737804720819e-07
Mean branch thermal violation to (MVA),9.720822617964586e-07
Mean branch angle difference violation (radians),0.0
Mean Qg violation PV buses,0.02058558166027069
Mean Qg violation REF buses,0.0009447219781577587
Mean Qg violation,0.017779747024178505
