exp_id,run_id,model,grid,penalty,seed,duplicate
214799826553360373,30088b6fa232486b8295633748532295,GNS_heterogeneous,case30_ieee,11,17,false
297456481686029275,880b88879ecf4561bc4dae754b6d6f19,GNS_heterogeneous,case118_ieee,11,17,false
304223474477146194,587e370c97fa41b1986caf624e2521ad,GNS_heterogeneous,case30_ieee,11,42,false
315936892049060006,4245adf2507a4a958d1ec059de04d8fa,GNS_heterogeneous,case500_goc,11,42,false
325631748442931054,a63e1d89f30c4592be5ab93d69ed025e,GNS_heterogeneous,case118_ieee,11,42,false
371415819814258745,1927fe80558a48539ee37be478706781,GNS_heterogeneous,case14_ieee,11,42,false
407504553780967394,575001a40ef7444fb6471eab829c9e2c,GNS_heterogeneous,case2000_goc,11,42,false
419324893442349395,e814e6648d2e4aaf877081c2c2cf8d9c,GNS_heterogeneous,case57_ieee,11,17,false
434884925577962623,009a0cca94ae4957827a6765db1d1daf,GNS_heterogeneous,case118_ieee,11,3,false
443047011685896434,f5a70f180f0c49199db71ea5ddc520ef,GNS_heterogeneous,case57_ieee,11,3,false
537630504054299018,ba0b84d3ffb343689f8b221178fc296a,GNS_heterogeneous,case500_goc,11,3,false
635840775579834154,f88326d710104baf92fb45f755e3780e,GNS_heterogeneous,case2000_goc,11,3,false
682933119337050520,74cd3f1340044d10aca4842297bb565b,GNS_heterogeneous,case2000_goc,11,17,false
801418543664199863,f287390898284169a5230b48a1ea7685,GNS_heterogeneous,case14_ieee,11,3,false
840902984492823557,01ec28362fc8462aacd9e53df9614815,GNS_heterogeneous,case500_goc,11,17,false
841812892548466861,050f9159a7ea4acb811146b2e516c566,GNS_heterogeneous,case14_ieee,11,17,false
945712023650318044,ad43f273cd464d8582a4ee02cd6fabec,GNS_heterogeneous,case30_ieee,11,3,false
996851769375192908,320b2a8ff4d841e08466fa29a2d42992,GNS_heterogeneous,case57_ieee,11,42,false
