System,Model,opt gap,theta_ij,S_ij(+),S_ij(-),Pb,Qb,Qg_violation_excluding_slack
14-ieee,HGNSQ_penalty_11_OPFData_case14_default,0.04925726726651192,0.0,,,0.08528957259841263,0.03809744375757873,0.9149638004601002
14-ieee,HGNSQ_penalty_11_OPFData_case14_3,0.05361723154783249,0.0,,,0.06999835604801774,0.03311792970634997,0.9302904829382896
14-ieee,HGNSQ_penalty_11_OPFData_case14_17,0.06015373021364212,0.0,,,0.0924082298297435,0.043602276127785444,0.9776394814252853
14-ieee,HGNSQ_penalty_11_OPFData_case14_mean_std,0.0543427 ± 0.00548434,0 ± 0,,,0.0825654 ± 0.0114506,0.0382725 ± 0.00524437,0.940965 ± 0.0326728
30-ieee,HGNSQ_penalty_11_OPFData_case30_default,0.030502744019031525,0.0,,,0.10497228940948844,0.07322929450310767,0.31470891553908587
30-ieee,HGNSQ_penalty_11_OPFData_case30_3,0.028041502460837364,0.0,,,0.09829894406720996,0.07051255670376122,0.26465244591236115
30-ieee,HGNSQ_penalty_11_OPFData_case30_17,0.031527645885944366,0.0,,,0.11282460764050484,0.07497932529076934,0.3218763042241335
30-ieee,HGNSQ_penalty_11_OPFData_case30_mean_std,0.030024 ± 0.00179171,0 ± 0,,,0.105365 ± 0.0072708,0.0729071 ± 0.00225075,0.300413 ± 0.0311758
57-ieee,HGNSQ_penalty_11_OPFData_case57_default,0.13765688240528107,0.0,,,6.472010165452957,3.6859985440969467,2.058531530201435
57-ieee,HGNSQ_penalty_11_OPFData_case57_3,0.11287115514278412,0.0,,,5.1404450088739395,2.881813235580921,0.893629714846611
57-ieee,HGNSQ_penalty_11_OPFData_case57_17,0.09491445124149323,0.0,,,3.827711194753647,2.363257296383381,1.2325946241617203
57-ieee,HGNSQ_penalty_11_OPFData_case57_mean_std,0.115147 ± 0.0214619,0 ± 0,,,5.14672 ± 1.32216,2.97702 ± 0.666491,1.39492 ± 0.599175
118-ieee,HGNSQ_penalty_11_OPFData_case118_default,0.18215259909629822,0.0,,,3.6420535296201706,0.8118487894535065,0.21554629784077406
118-ieee,HGNSQ_penalty_11_OPFData_case118_3,0.13895000517368317,0.0,,,1.1157659813761711,0.28318383265286684,0.24129191879183054
118-ieee,HGNSQ_penalty_11_OPFData_case118_17,0.1676478385925293,0.0,,,1.7969951033592224,0.4482103046029806,0.16089031705632806
118-ieee,HGNSQ_penalty_11_OPFData_case118_mean_std,0.162917 ± 0.0219864,0 ± 0,,,2.18494 ± 1.30706,0.514414 ± 0.270479,0.20591 ± 0.0410579
500-goc,HGNSQ_penalty_11_OPFData_case500_default,0.3378637433052063,0.0,,,7.295862585306168,2.724858559668064,0.05429378361441195
500-goc,HGNSQ_penalty_11_OPFData_case500_3,0.25898006558418274,0.0,,,7.673712074756622,2.6434799656271935,0.04978330689482391
500-goc,HGNSQ_penalty_11_OPFData_case500_17,0.2989332675933838,0.0,,,6.074654683470726,2.416353113949299,0.03398330009076744
500-goc,HGNSQ_penalty_11_OPFData_case500_mean_std,0.298592 ± 0.0394429,0 ± 0,,,7.01474 ± 0.835773,2.5949 ± 0.159888,0.0460201 ± 0.0106654
2000-goc,HGNSQ_penalty_11_OPFData_case2000_default,0.18055833876132965,0.0,,,6.152276322245598,2.3930074647068977,0.17254686681553721
2000-goc,HGNSQ_penalty_11_OPFData_case2000_3,0.15519298613071442,0.0,,,5.171031132340431,1.905335858464241,0.12831505155190825
2000-goc,HGNSQ_penalty_11_OPFData_case2000_17,0.17135398089885712,0.0,,,6.272695958614349,2.3811934515833855,0.19412655383348465
2000-goc,HGNSQ_penalty_11_OPFData_case2000_mean_std,0.169035 ± 0.0128407,0 ± 0,,,5.86533 ± 0.604291,2.22651 ± 0.27821,0.164996 ± 0.0335492
