grid,perturbation,feasibility,model,Avg. active res. (p.u.),Avg. reactive res. (p.u.),"PBE (Mean, p.u.)","PBE (Max, p.u.)"
case118,avg,nose,bs64_same_norm_shuffle_train_paper_seed3,0.16281016985575358,0.026381372610727944,0.16951049486796063,13.195571085611979
case118,avg,nose,bs64_same_norm_shuffle_train_paper_seed1,0.16991822878519694,0.03631506045659383,0.18027414957682295,64.53349609375
case118,avg,nose,bs64_same_norm_shuffle_train_paper_seed2,0.2934313710530599,0.04698812405268351,0.30623404184977215,39.37227172851562
case118,n,feasible,bs64_same_norm_shuffle_train_paper_seed1,0.0007074312865734101,0.000143926041200757,0.000759569779038429,0.04405446529388428
case118,n,feasible,bs64_same_norm_shuffle_train_paper_seed3,0.002171725630760193,0.00042315606027841496,0.002319181412458419,0.03945504426956177
case118,n,feasible,bs64_same_norm_shuffle_train_paper_seed2,0.004593167901039123,0.001058822199702262,0.0050032812356948855,0.1123362636566162
case118,n-1,feasible,bs64_same_norm_shuffle_train_paper_seed1,0.001292451918125152,0.00026631498709321004,0.0013964119553565978,0.982151336669922
case118,n-1,feasible,bs64_same_norm_shuffle_train_paper_seed3,0.00379683256149292,0.00075746014714241,0.004069830775260925,0.6541742706298828
case118,n-1,feasible,bs64_same_norm_shuffle_train_paper_seed2,0.007438004612922668,0.001763930767774582,0.008148078322410584,2.00677734375
case118,n-2,feasible,bs64_same_norm_shuffle_train_paper_seed1,0.00164524495601654,0.000355383604764938,0.0017901922762393948,0.31276023864746094
case118,n-2,feasible,bs64_same_norm_shuffle_train_paper_seed3,0.0050047767162323,0.001030791029334068,0.0053815913200378415,3.961209716796875
case118,n-2,feasible,bs64_same_norm_shuffle_train_paper_seed2,0.009368142485618592,0.002297104746103286,0.01030163288116455,1.7578219604492187
case500,avg,nose,bs64_same_norm_shuffle_train_paper_seed3,2.0650589497884115,0.7503857676188151,2.361586659749349,50.8369482421875
case500,avg,nose,bs64_same_norm_shuffle_train_paper_seed2,7.434427897135417,4.703793436686198,10.102053426106771,173.35029947916667
case500,avg,nose,bs64_same_norm_shuffle_train_paper_seed1,6.194987996419271,11.0426123046875,13.763015950520833,359.9615755208333
case500,n,feasible,bs64_same_norm_shuffle_train_paper_seed3,1.9805987548828126,0.7554935455322266,2.288677673339844,45.2931396484375
case500,n,feasible,bs64_same_norm_shuffle_train_paper_seed2,7.263297119140625,4.616948852539063,9.901917114257813,175.3975390625
case500,n,feasible,bs64_same_norm_shuffle_train_paper_seed1,6.228533935546875,11.14033447265625,13.867894287109374,363.2718359375
case500,n-1,feasible,bs64_same_norm_shuffle_train_paper_seed3,1.9581597900390626,0.757712631225586,2.27192626953125,47.8425439453125
case500,n-1,feasible,bs64_same_norm_shuffle_train_paper_seed2,7.157871704101563,4.577373046875,9.767489624023437,177.0171484375
case500,n-1,feasible,bs64_same_norm_shuffle_train_paper_seed1,6.26427734375,11.188946533203126,13.929293212890625,361.68484375
case500,n-2,feasible,bs64_same_norm_shuffle_train_paper_seed3,1.97583740234375,0.7596565246582031,2.2904161071777343,47.8194482421875
case500,n-2,feasible,bs64_same_norm_shuffle_train_paper_seed2,7.2464892578125,4.611741638183593,9.874100952148437,178.91689453125
case500,n-2,feasible,bs64_same_norm_shuffle_train_paper_seed1,6.241084594726562,11.16572265625,13.8930126953125,362.826640625
case57,avg,nose,bs64_same_norm_shuffle_train_paper_seed3,0.2917817306518555,0.17595512390136717,0.37294849395751956,14.553888753255208
case57,avg,nose,bs64_same_norm_shuffle_train_paper_seed2,0.43844028472900387,0.23748302459716797,0.5690321858723958,18.08125040690104
case57,avg,nose,bs64_same_norm_shuffle_train_paper_seed1,0.37561086018880213,0.6367465209960937,0.8042044067382813,24.460268554687502
case57,n,feasible,bs64_same_norm_shuffle_train_paper_seed3,0.2379835700988769,0.16799726486206054,0.3166155815124512,3.511434326171875
case57,n,feasible,bs64_same_norm_shuffle_train_paper_seed2,0.3238062286376953,0.23126747131347655,0.4535919189453125,8.625050048828125
case57,n,feasible,bs64_same_norm_shuffle_train_paper_seed1,0.32627052307128906,0.5413579940795897,0.6909942626953125,22.583271484375
case57,n-1,feasible,bs64_same_norm_shuffle_train_paper_seed3,0.24550970077514647,0.17137805938720704,0.32550754547119143,6.397369995117187
case57,n-1,feasible,bs64_same_norm_shuffle_train_paper_seed2,0.31123615264892573,0.2159762954711914,0.4343255233764648,11.546319580078125
case57,n-1,feasible,bs64_same_norm_shuffle_train_paper_seed1,0.317031192779541,0.5933300018310547,0.7256110382080078,22.9941748046875
case57,n-2,feasible,bs64_same_norm_shuffle_train_paper_seed3,0.24422336578369142,0.16856904983520507,0.32291473388671876,10.157724609375
case57,n-2,feasible,bs64_same_norm_shuffle_train_paper_seed2,0.32530460357666013,0.21508106231689453,0.4443874740600586,13.170009765625
case57,n-2,feasible,bs64_same_norm_shuffle_train_paper_seed1,0.2987583541870117,0.5357719802856445,0.6658647918701172,23.75177978515625
