n_scenarios,type,ac_avg_active_res_mw,dc_avg_active_res_mw
0,finetune,11.078252792358398,2.2950979376856915
100,scratch,6.122814655303955,2.2950979376856915
100,finetune,5.5995306968688965,2.2950979376856915
1000,scratch,3.810424327850342,2.2950979376856915
1000,finetune,1.9316951036453247,2.2950979376856915
10000,scratch,0.9179853796958924,2.2950979376856915
10000,finetune,0.2719094753265381,2.2950979376856915
20000,scratch,0.6843398809432983,2.2950979376856915
20000,finetune,0.254555344581604,2.2950979376856915
50000,scratch,0.2989885509014129,2.2950979376856915
50000,finetune,0.114019937813282,2.2950979376856915
100000,scratch,0.1587081402540207,2.2950979376856915
100000,finetune,0.0627674087882042,2.2950979376856915
250000,scratch,0.0735985338687896,2.2950979376856915
250000,finetune,0.0907202437520027,2.2950979376856915
